Ranking,Car_ID,Year,Make,Model,Total,Racer,Engine,Body_Frame,Mods,Mods_Overall,Car_Overall
104,8,1991,Nissan,Skyline,44,6,4,28,0,4,2
105,9,1996,Nissan,240,44,10,8,18,0,4,4
106,Showcar,2014,Nissan,Gtr,44,6,4,30,0,4,
107,232,2018,Subaru,WRX,46,6,6,30,0,0,4
108,104,2014,Honda,Civic si,48,6,14,22,0,2,4
109,211,2004,Acura,Tsx,48,0,12,34,0,0,2
110,52,2007,Mazda,Speed 3,48,6,10,28,0,2,2
111,88,2008,Honda,Accord,48,2,10,30,0,4,2
112,170,2014,Chevy,Cruze,50,0,0,46,0,4,0
113,189,2012,Toyota,Fj cruiser,50,2,10,34,0,2,2
114,5,2003,Acura,Rsx,50,6,6,30,0,4,4
115,51,2015,Subaru,WRX,50,6,10,30,0,2,2
116,134,2013,Subaru,WRX,52,10,12,26,0,2,2
117,225,2016,Acura,TLX,52,0,4,44,0,4,0
118,137,2017,Ford,Focus rs,54,10,14,28,0,0,2
119,37,2015,Subaru,Sti,54,6,14,28,0,4,2
120,43,2011,Toyota,4 Runner,54,2,12,32,0,4,4
121,6,2016,Volkswagen,Golf r,54,6,18,24,0,4,2
122,115,2001,Honda,Crv,56,0,10,42,0,4,0
123,156,2014,Volkswagen,Gli,56,0,0,52,0,4,0
124,110,2011,Toyota,Camry,58,0,12,42,0,4,0
125,142,1993,Toyota,Supra,58,4,8,36,0,6,4
126,35,2016,Honda,Civic,60,2,12,42,0,4,0
127,53,2013,Subaru,WRX,60,8,10,36,0,4,2
128,12,1990,Nissan,240,62,4,12,38,0,4,4
129,21,2009,Subaru,WRX,62,6,14,34,0,4,4
130,23,1998,Subaru,Legacy,62,2,10,40,0,6,4
131,38,2017,Hyundai,Elantra sport,62,6,16,36,0,0,4
132,48,2015,Acura,TLX,62,4,14,36,0,4,4
133,158,2007,Nissan,350z,64,4,4,48,0,6,2
134,218,2010,Chevy,Camaro,64,12,16,28,0,4,4
135,41,2012,Acura,Tsx,64,4,14,40,0,2,4
136,1051,2006,Acura,Tsx,66,6,16,38,0,4,2
137,123,2006,Lexus,Sc430,66,8,18,36,0,4,0
138,30,2012,Hyundai,Celoster,66,4,20,36,0,4,2
139,33,2015,Subaru,Sti,68,8,12,40,0,4,4
140,84,2012,Mercedes,Cl63amg,70,12,16,36,0,2,4
141,103,2010,Acura,Tsx,72,2,12,54,0,4,0
142,178,2009,Honda,Oddesy,72,6,12,46,0,6,2
143,39,2011,Honda,Civic,72,6,14,44,0,4,4
144,36,2016,Subaru,WRX,74,10,16,40,0,4,4
145,106,2007,Acura,Tl type s,78,8,14,50,0,4,2
146,25,2012,Mercedes,C250,78,6,16,48,0,4,4
147,57,2015,Scion,Frs,80,16,20,36,0,4,4
148,180,2011,Volkswagen,Gti,82,4,16,56,0,4,2
149,161,2012,Nissan,370z,84,4,10,62,0,6,2
150,3,2011,Nissan,370,84,16,16,44,0,4,4
151,127,2013,Acura,Tsx,86,4,20,52,0,6,4
152,63,2010,Honda,Civic,86,4,22,54,0,4,2
153,126,2010,Volkswagen,Eos,92,0,24,62,0,6,0
154,13,2016,Honda,Civic 1.5t,92,4,22,60,0,6,0
155,175,2006,Honda,Civic,92,8,26,50,0,4,4
156,228,2010,Nissan,370,92,14,20,50,0,4,4
157,216,2007,Chrystler,300,96,16,20,52,0,4,4
158,31,2007,Honda,Fit,102,14,24,54,0,6,4
159,50,2015,Acura,TLX,102,14,18,62,0,6,2
160,91,2010,Mitsu,Lancer,102,8,24,62,0,6,2
161,65,2009,Honda,Fit,106,6,26,64,0,6,4
162,112,2008,Acura,TL,110,4,28,70,0,6,2
163,83,2014,Honda,Accord,112,12,24,64,0,6,6
164,113,2012,Acura,Tsx sportwagon,116,6,30,72,0,6,2
165,15,2014,Audi,S4,120,12,26,74,0,6,2
166,124,2015,Jeep,Wrangler,124,12,24,78,0,6,4
167,128,2010,Infiniti,G37,128,18,26,74,0,6,4
