Class: Racer

Rank,Car_ID,Year,Make,Model,Score
4,64,2004,Subaru,Forester,0
5,68,2013,Nissan,Altima,0
6,69,2018,Subaru,WRX,0
7,70,2014,Honda,Civic,0
8,71,2008,Acura,TL,0
9,72,2016,Honda,Civic si,0
10,74,2015,Honda,Accord,0
11,79,1993,Mazda,Miata,0
12,94,2004,Volkswagen,Gti,0
13,95,2004,Infiniti,G35,0
14,101,2014,Honda,Civic,0
15,102,2015,Honda,Accord,0
16,111,2007,Bmw,328i,0
17,121,2012,Acura,TL,0
18,141,1993,Mazda,Miata,0
19,156,2014,Volkswagen,Gli,0
20,170,2014,Chevy,Cruze,0
21,185,2013,Volkswagen,Jett,0
22,190,1995,Lexus,Sc300,0
23,197,2010,Audi,A4,0
24,212,2001,Lexus,Is300,0
25,226,2008,Honda,Accord,0
26,243,2008,Toyota,Matrix,0
27,1,2012,Subaru,WRX,2
28,2,2016,Bmw,M2,2
29,4,2007,Honda,Civic,2
30,7,2014,Nissan,Sentra,2
31,16,2008,Nissan,350z,2
32,34,2010,Honda,Fit,2
33,66,2010,Volkswagen,Gti,2
34,67,2015,Subaru,Sti,2
35,75,2012,Subaru,WRX,2
36,81,2016,Volkswagen,GTI,2
37,85,2017,Honda,Accord,2
38,89,2014,Honda,Civic si,2
39,96,2017,Volkswagen,Gti,2
40,108,2013,Audi,S4,2
41,159,2013,Hyundai,Gen coupe,2
42,174,2006,Acura,Rsx,2
43,176,2014,Mitsu,Lancer,2
44,220,2004,Audi,A4,2
45,235,2013,Scion,Frs,2
46,238,1982,Volkswagen,Rabbit,2
47,Showcar,2014,Nissan,Gtr,4
48,14,1990,Nissan,Skyline,4
49,18,2015,Audi,S3,4
50,19,2001,Mitsu,Evo7,4
51,20,2009,Infiniti,G37,4
52,22,2007,Honda,Civic,4
53,24,2013,Subaru,BRZ,4
54,42,2001,Dodge,Viper,4
55,76,2005,Subaru,Sti,4
56,86,1996,Volkswagen,Jetta,4
57,93,2005,Acura,TL,4
58,114,2010,Volkswagen,Gti,4
59,130,2016,Honda,Civic si,4
60,138,1990,Mazda,Miata,4
61,144,2016,Volkswagen,Gti,4
62,150,2006,Nissan,350z,4
63,163,2013,Mitsu,Ralliart,4
64,167,2016,Ford,Mystang,4
65,177,2005,Volkswagen,Jetta gli,4
66,181,2003,Volkswagen,Gti,4
67,182,2012,Volkswagen,Cc,4
68,183,2005,Volkswagen,Jetta,4
69,184,2010,Volkswagen,Cc,4
70,193,2014,Nissan,Ssntra,4
71,225,2016,Acura,TLX,4
72,230,2004,Acura,Tsx,4
73,241,2007,Toyota,Camry,4
74,Vip,2008,Volkswagen,Gli,6
75,8,1991,Nissan,Skyline,6
76,11,1991,Nissan,Skyline,6
77,92,2017,Hyundai,Elantra sport,6
78,98,2012,Mercedes,C63,6
79,99,2014,Honda,Civic si,6
80,120,2014,Ford,Focus st,6
81,158,2007,Nissan,350z,6
82,162,2014,Nissan,370z,6
83,187,2007,Subaru,Legacy,6
84,237,1987,Volkswagen,Jetta,6
85,242,2014,Nissan,Maxima,6
86,10,2001,Nissan,S15,8
87,17,2016,Mercedes,C43,8
88,78,2015,Mazda,6,8
89,100,2006,Volvo,S60r,8
90,118,1993,Honda,Civic,8
91,122,2011,Infiniti,M37s,8
92,145,1990,Volkswagen,Gti,8
93,153,2017,Subaru,Brz,8
94,186,2012,Volkswagen,Gli,8
95,200,2016,Subaru,WRX,8
96,219,2016,Ford,Focus rs,8
97,4341,1992,Nissan,Rps13,8
98,5,2003,Acura,Rsx,10
99,46,2008,Volkswagen,R32,10
100,59,2012,Volkswagen,Golf,10
101,115,2001,Honda,Crv,10
102,232,2018,Subaru,WRX,10
103,9,1996,Nissan,240,12
104,35,2016,Honda,Civic,12
105,45,2006,Acura,TL,12
106,51,2015,Subaru,WRX,12
107,52,2007,Mazda,Speed 3,12
108,53,2013,Subaru,WRX,12
109,56,2009,Volkswagen,Jetta,12
110,88,2008,Honda,Accord,12
111,103,2010,Acura,Tsx,12
112,110,2011,Toyota,Camry,12
113,116,2008,Audi,A4,12
114,140,1995,Mitsu,Evo8,12
115,142,1993,Toyota,Supra,12
116,161,2012,Nissan,370z,12
117,172,2014,Bmw,4,12
118,189,2012,Toyota,Fj cruiser,12
119,207,1993,Honda,Civic eG,12
120,222,2015,Lexus,Is250,12
121,23,1998,Subaru,Legacy,14
122,44,2018,Honda,Civic si,14
123,134,2013,Subaru,WRX,14
124,178,2009,Honda,Oddesy,14
125,211,2004,Acura,Tsx,14
126,12,1990,Nissan,240,16
127,33,2015,Subaru,Sti,16
128,37,2015,Subaru,Sti,16
129,43,2011,Toyota,4 Runner,16
130,49,1997,Acura,Integra,16
131,106,2007,Acura,Tl type s,16
132,137,2017,Ford,Focus rs,16
133,179,2004,Volkswagen,R32,16
134,21,2009,Subaru,WRX,18
135,39,2011,Honda,Civic,18
136,41,2012,Acura,Tsx,18
137,48,2015,Acura,TLX,18
138,104,2014,Honda,Civic si,18
139,123,2006,Lexus,Sc430,18
140,180,2011,Volkswagen,Gti,18
141,1051,2006,Acura,Tsx,18
142,3,2011,Nissan,370,20
143,6,2016,Volkswagen,Golf r,20
144,25,2012,Mercedes,C250,20
145,36,2016,Subaru,WRX,20
146,38,2017,Hyundai,Elantra sport,20
147,50,2015,Acura,TLX,20
148,84,2012,Mercedes,Cl63amg,20
149,218,2010,Chevy,Camaro,20
150,13,2016,Honda,Civic 1.5t,22
151,30,2012,Hyundai,Celoster,22
152,57,2015,Scion,Frs,24
153,63,2010,Honda,Civic,24
154,126,2010,Volkswagen,Eos,24
155,127,2013,Acura,Tsx,24
156,216,2007,Chrystler,300,24
157,228,2010,Nissan,370,24
158,91,2010,Mitsu,Lancer,26
159,15,2014,Audi,S4,28
160,31,2007,Honda,Fit,28
161,124,2015,Jeep,Wrangler,28
162,65,2009,Honda,Fit,30
163,83,2014,Honda,Accord,30
164,112,2008,Acura,TL,30
165,128,2010,Infiniti,G37,30
166,175,2006,Honda,Civic,30
167,113,2012,Acura,Tsx sportwagon,32

Class: Body_Frame 

Rank,Car_ID,Year,Make,Model,Score
1,0,2015,Chevy,Camaro,0
2,1,2012,Subaru,WRX,0
3,4,2007,Honda,Civic,0
4,40,2007,Subaru,Legacy,0
5,64,2004,Subaru,Forester,0
6,66,2010,Volkswagen,Gti,0
7,70,2014,Honda,Civic,0
8,72,2016,Honda,Civic si,0
9,76,2005,Subaru,Sti,0
10,94,2004,Volkswagen,Gti,0
11,96,2017,Volkswagen,Gti,0
12,101,2014,Honda,Civic,0
13,138,1990,Mazda,Miata,0
14,174,2006,Acura,Rsx,0
15,187,2007,Subaru,Legacy,0
16,197,2010,Audi,A4,0
17,11,1991,Nissan,Skyline,2
18,17,2016,Mercedes,C43,2
19,42,2001,Dodge,Viper,2
20,75,2012,Subaru,WRX,2
21,86,1996,Volkswagen,Jetta,2
22,108,2013,Audi,S4,2
23,111,2007,Bmw,328i,2
24,130,2016,Honda,Civic si,2
25,183,2005,Volkswagen,Jetta,2
26,184,2010,Volkswagen,Cc,2
27,186,2012,Volkswagen,Gli,2
28,212,2001,Lexus,Is300,2
29,4341,1992,Nissan,Rps13,2
30,Vip,2008,Volkswagen,Gli,4
31,9,1996,Nissan,240,4
32,16,2008,Nissan,350z,4
33,28,1995,Bmw,318xi,4
34,44,2018,Honda,Civic si,4
35,67,2015,Subaru,Sti,4
36,68,2013,Nissan,Altima,4
37,71,2008,Acura,TL,4
38,74,2015,Honda,Accord,4
39,89,2014,Honda,Civic si,4
40,102,2015,Honda,Accord,4
41,150,2006,Nissan,350z,4
42,162,2014,Nissan,370z,4
43,163,2013,Mitsu,Ralliart,4
44,172,2014,Bmw,4,4
45,177,2005,Volkswagen,Jetta gli,4
