Class: Racer

Rank,Car_ID,Year,Make,Model,Score
75,104,2014,Honda,Civic si,2
76,108,2013,Audi,S4,2
77,114,2010,Volkswagen,Gti,2
78,120,2014,Ford,Focus st,2
79,134,2013,Subaru,WRX,2
80,141,1993,Mazda,Miata,2
81,144,2016,Volkswagen,Gti,2
82,145,1990,Volkswagen,Gti,2
83,150,2006,Nissan,350z,2
84,153,2017,Subaru,Brz,2
85,162,2014,Nissan,370z,2
86,163,2013,Mitsu,Ralliart,2
87,167,2016,Ford,Mystang,2
88,177,2005,Volkswagen,Jetta gli,2
89,179,2004,Volkswagen,R32,2
90,181,2003,Volkswagen,Gti,2
91,182,2012,Volkswagen,Cc,2
92,183,2005,Volkswagen,Jetta,2
93,187,2007,Subaru,Legacy,2
94,189,2012,Toyota,Fj cruiser,2
95,193,2014,Nissan,Ssntra,2
96,200,2016,Subaru,WRX,2
97,220,2004,Audi,A4,2
98,230,2004,Acura,Tsx,2
99,235,2013,Scion,Frs,2
100,238,1982,Volkswagen,Rabbit,2
101,241,2007,Toyota,Camry,2
102,242,2014,Nissan,Maxima,2
103,4341,1992,Nissan,Rps13,2
104,Showcar,2014,Nissan,Gtr,4
105,3,2011,Nissan,370,4
106,5,2003,Acura,Rsx,4
107,6,2016,Volkswagen,Golf r,4
108,7,2014,Nissan,Sentra,4
109,8,1991,Nissan,Skyline,4
110,9,1996,Nissan,240,4
111,12,1990,Nissan,240,4
112,21,2009,Subaru,WRX,4
113,25,2012,Mercedes,C250,4
114,30,2012,Hyundai,Celoster,4
115,33,2015,Subaru,Sti,4
116,35,2016,Honda,Civic,4
117,36,2016,Subaru,WRX,4
118,37,2015,Subaru,Sti,4
119,39,2011,Honda,Civic,4
120,43,2011,Toyota,4 Runner,4
121,48,2015,Acura,TLX,4
122,49,1997,Acura,Integra,4
123,53,2013,Subaru,WRX,4
124,57,2015,Scion,Frs,4
125,63,2010,Honda,Civic,4
126,85,2017,Honda,Accord,4
127,88,2008,Honda,Accord,4
128,99,2014,Honda,Civic si,4
129,103,2010,Acura,Tsx,4
130,106,2007,Acura,Tl type s,4
131,110,2011,Toyota,Camry,4
132,111,2007,Bmw,328i,4
133,115,2001,Honda,Crv,4
134,116,2008,Audi,A4,4
135,118,1993,Honda,Civic,4
136,121,2012,Acura,TL,4
137,122,2011,Infiniti,M37s,4
138,123,2006,Lexus,Sc430,4
139,156,2014,Volkswagen,Gli,4
140,170,2014,Chevy,Cruze,4
141,175,2006,Honda,Civic,4
142,176,2014,Mitsu,Lancer,4
143,180,2011,Volkswagen,Gti,4
144,216,2007,Chrystler,300,4
145,218,2010,Chevy,Camaro,4
146,222,2015,Lexus,Is250,4
147,225,2016,Acura,TLX,4
148,228,2010,Nissan,370,4
149,1051,2006,Acura,Tsx,4
150,13,2016,Honda,Civic 1.5t,6
151,15,2014,Audi,S4,6
152,23,1998,Subaru,Legacy,6
153,31,2007,Honda,Fit,6
154,50,2015,Acura,TLX,6
155,65,2009,Honda,Fit,6
156,83,2014,Honda,Accord,6
157,91,2010,Mitsu,Lancer,6
158,112,2008,Acura,TL,6
159,113,2012,Acura,Tsx sportwagon,6
160,124,2015,Jeep,Wrangler,6
161,126,2010,Volkswagen,Eos,6
162,127,2013,Acura,Tsx,6
163,128,2010,Infiniti,G37,6
164,142,1993,Toyota,Supra,6
165,158,2007,Nissan,350z,6
166,161,2012,Nissan,370z,6
167,178,2009,Honda,Oddesy,6

Class: Car_Overall 

Rank,Car_ID,Year,Make,Model,Score
1,Showcar,2014,Nissan,Gtr,0
2,0,2015,Chevy,Camaro,0
3,2,2016,Bmw,M2,0
4,4,2007,Honda,Civic,0
5,7,2014,Nissan,Sentra,0
6,13,2016,Honda,Civic 1.5t,0
7,14,1990,Nissan,Skyline,0
8,16,2008,Nissan,350z,0
9,17,2016,Mercedes,C43,0
10,20,2009,Infiniti,G37,0
11,28,1995,Bmw,318xi,0
12,35,2016,Honda,Civic,0
13,40,2007,Subaru,Legacy,0
14,64,2004,Subaru,Forester,0
15,66,2010,Volkswagen,Gti,0
16,67,2015,Subaru,Sti,0
17,68,2013,Nissan,Altima,0
18,69,2018,Subaru,WRX,0
19,70,2014,Honda,Civic,0
20,71,2008,Acura,TL,0
21,72,2016,Honda,Civic si,0
22,74,2015,Honda,Accord,0
23,75,2012,Subaru,WRX,0
24,79,1993,Mazda,Miata,0
25,85,2017,Honda,Accord,0
26,86,1996,Volkswagen,Jetta,0
27,89,2014,Honda,Civic si,0
28,92,2017,Hyundai,Elantra sport,0
29,94,2004,Volkswagen,Gti,0
30,95,2004,Infiniti,G35,0
31,96,2017,Volkswagen,Gti,0
32,98,2012,Mercedes,C63,0
33,99,2014,Honda,Civic si,0
34,100,2006,Volvo,S60r,0
35,101,2014,Honda,Civic,0
36,102,2015,Honda,Accord,0
37,103,2010,Acura,Tsx,0
38,110,2011,Toyota,Camry,0
39,111,2007,Bmw,328i,0
40,114,2010,Volkswagen,Gti,0
41,115,2001,Honda,Crv,0
42,121,2012,Acura,TL,0
43,122,2011,Infiniti,M37s,0
44,123,2006,Lexus,Sc430,0
45,126,2010,Volkswagen,Eos,0
46,130,2016,Honda,Civic si,0
47,138,1990,Mazda,Miata,0
48,141,1993,Mazda,Miata,0
49,144,2016,Volkswagen,Gti,0
50,150,2006,Nissan,350z,0
51,153,2017,Subaru,Brz,0
52,156,2014,Volkswagen,Gli,0
53,159,2013,Hyundai,Gen coupe,0
54,162,2014,Nissan,370z,0
55,163,2013,Mitsu,Ralliart,0
56,167,2016,Ford,Mystang,0
57,170,2014,Chevy,Cruze,0
58,174,2006,Acura,Rsx,0
59,176,2014,Mitsu,Lancer,0
60,177,2005,Volkswagen,Jetta gli,0
61,181,2003,Volkswagen,Gti,0
62,183,2005,Volkswagen,Jetta,0
63,184,2010,Volkswagen,Cc,0
64,185,2013,Volkswagen,Jett,0
65,190,1995,Lexus,Sc300,0
66,193,2014,Nissan,Ssntra,0
67,197,2010,Audi,A4,0
68,212,2001,Lexus,Is300,0
69,220,2004,Audi,A4,0
70,222,2015,Lexus,Is250,0
71,225,2016,Acura,TLX,0
72,226,2008,Honda,Accord,0
73,230,2004,Acura,Tsx,0
74,235,2013,Scion,Frs,0
75,237,1987,Volkswagen,Jetta,0
76,238,1982,Volkswagen,Rabbit,0
77,241,2007,Toyota,Camry,0
78,242,2014,Nissan,Maxima,0
79,243,2008,Toyota,Matrix,0
80,Vip,2008,Volkswagen,Gli,2
81,1,2012,Subaru,WRX,2
82,6,2016,Volkswagen,Golf r,2
83,8,1991,Nissan,Skyline,2
84,10,2001,Nissan,S15,2
85,11,1991,Nissan,Skyline,2
86,15,2014,Audi,S4,2
87,18,2015,Audi,S3,2
88,19,2001,Mitsu,Evo7,2
89,22,2007,Honda,Civic,2
90,24,2013,Subaru,BRZ,2
91,30,2012,Hyundai,Celoster,2
92,34,2010,Honda,Fit,2
93,37,2015,Subaru,Sti,2
94,42,2001,Dodge,Viper,2
95,44,2018,Honda,Civic si,2
96,45,2006,Acura,TL,2
97,46,2008,Volkswagen,R32,2
98,50,2015,Acura,TLX,2
99,51,2015,Subaru,WRX,2
100,52,2007,Mazda,Speed 3,2
101,53,2013,Subaru,WRX,2
102,56,2009,Volkswagen,Jetta,2
103,59,2012,Volkswagen,Golf,2
104,63,2010,Honda,Civic,2
105,76,2005,Subaru,Sti,2
106,78,2015,Mazda,6,2
107,81,2016,Volkswagen,GTI,2
108,88,2008,Honda,Accord,2
109,91,2010,Mitsu,Lancer,2
110,93,2005,Acura,TL,2
111,106,2007,Acura,Tl type s,2
112,108,2013,Audi,S4,2
113,112,2008,Acura,TL,2
114,113,2012,Acura,Tsx sportwagon,2
115,116,2008,Audi,A4,2
116,120,2014,Ford,Focus st,2
117,134,2013,Subaru,WRX,2
118,137,2017,Ford,Focus rs,2
119,140,1995,Mitsu,Evo8,2
120,145,1990,Volkswagen,Gti,2
121,158,2007,Nissan,350z,2
122,161,2012,Nissan,370z,2
123,178,2009,Honda,Oddesy,2
124,179,2004,Volkswagen,R32,2
125,180,2011,Volkswagen,Gti,2
126,182,2012,Volkswagen,Cc,2
127,187,2007,Subaru,Legacy,2
128,189,2012,Toyota,Fj cruiser,2
129,200,2016,Subaru,WRX,2
130,207,1993,Honda,Civic eG,2
131,211,2004,Acura,Tsx,2
132,219,2016,Ford,Focus rs,2
133,1051,2006,Acura,Tsx,2
134,4341,1992,Nissan,Rps13,2
135,3,2011,Nissan,370,4
136,5,2003,Acura,Rsx,4
137,9,1996,Nissan,240,4
138,12,1990,Nissan,240,4
139,21,2009,Subaru,WRX,4
140,23,1998,Subaru,Legacy,4
141,25,2012,Mercedes,C250,4
142,31,2007,Honda,Fit,4
143,33,2015,Subaru,Sti,4
144,36,2016,Subaru,WRX,4
145,38,2017,Hyundai,Elantra sport,4
146,39,2011,Honda,Civic,4
147,41,2012,Acura,Tsx,4
148,43,2011,Toyota,4 Runner,4
149,48,2015,Acura,TLX,4
150,49,1997,Acura,Integra,4
151,57,2015,Scion,Frs,4
152,65,2009,Honda,Fit,4
153,84,2012,Mercedes,Cl63amg,4
154,104,2014,Honda,Civic si,4
155,118,1993,Honda,Civic,4
156,124,2015,Jeep,Wrangler,4
157,127,2013,Acura,Tsx,4
158,128,2010,Infiniti,G37,4
159,142,1993,Toyota,Supra,4
160,175,2006,Honda,Civic,4
161,216,2007,Chrystler,300,4
162,218,2010,Chevy,Camaro,4
163,228,2010,Nissan,370,4
164,232,2018,Subaru,WRX,4
165,83,2014,Honda,Accord,6
166,172,2014,Bmw,4,6
167,186,2012,Volkswagen,Gli,6
